X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,
4,4,jul,thu,93.2,114.4,560.0,9.5,30.2,22,4.9,0.0,0.0
9,9,jul,thu,93.2,114.4,560.0,9.5,30.2,25,4.5,0.0,0.0
7,7,jul,mon,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,0.0
7,7,jul,sun,93.7,101.3,423.4,14.7,18.2,82,4.5,0.0,0.0
4,4,jul,sun,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,0.0
4,4,jul,thu,93.5,85.3,395.0,9.9,27.2,28,1.3,0.0,0.0
3,3,jul,mon,94.6,160.0,567.2,16.7,17.9,48,2.7,0.0,0.0
1,1,jul,fri,90.7,80.9,368.3,16.8,14.8,78,8.0,0.0,0.0
2,2,jul,sat,90.8,84.7,376.6,5.6,23.8,51,1.8,0.0,0.0
8,8,jul,sun,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,0.0
6,6,jul,tue,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,0.0
9,9,jul,mon,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0,0.0
1,1,jul,tue,92.3,96.2,450.2,12.1,23.4,31,5.4,0.0,0.0
5,5,jul,wed,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,0.0
3,3,jul,wed,91.9,133.6,520.5,8.0,14.2,58,4.0,0.0,0.0
8,8,jul,tue,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,0.0
7,7,jul,tue,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,0.0
4,4,jul,fri,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,0.0
9,9,jul,sat,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,0.0
2,2,jul,sat,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,0.0
7,7,jul,sat,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0.0
7,7,jul,sat,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,0.0
7,7,jul,sat,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,0.0
7,7,jul,wed,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0.2
2,2,jul,sun,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,0.0
2,2,jul,fri,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,0.0
3,3,jul,sat,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,0.0
9,9,jul,sun,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,0.0
1,1,jul,sat,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.0
9,9,jul,tue,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.0
6,6,jul,mon,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0
4,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
