X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,
2,2,jun,thu,93.7,121.7,350.2,18.0,22.7,40,9.4,0.0,0.0
4,4,jun,thu,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0,0.0
9,9,jun,sat,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0,0.0
8,8,jun,mon,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,0.0
9,9,jun,wed,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,0.0
9,9,jun,wed,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,0.0
3,3,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
3,3,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
6,6,jun,mon,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,0.0
6,6,jun,mon,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,0.0
6,6,jun,sat,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0,0.0
8,8,jun,wed,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,0.0
8,8,jun,sun,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,0.0
6,6,jun,sun,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.0
7,7,jun,sun,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,0.0
6,6,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,0.0
7,7,jun,sun,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0
